RefSeq mRNA Accession	GO - Cellular Component	Illumina ID	UniProt Accession	
NM_001001152	GO:0005622 [Name: intracellular]; GO:0005575 [Name: cellular_component]	ILMN_1215015 [Chip: ]; ILMN_2446766 [Chip: ]; ILMN_2806377 [Chip: ]	Q6P5C7	
NM_001001160	GO:0005575 [Name: cellular_component]	ILMN_1228515 [Chip: ]	Q6NS60	
NM_001001297	GO:0005634 [Name: nucleus]; GO:0005654 [Name: nucleoplasm]; GO:0005739 [Name: mitochondrion]; GO:0005737 [Name: cytoplasm]	ILMN_3130652 [Chip: ]; ILMN_2623788 [Chip: ]; ILMN_3064134 [Chip: ]; ILMN_1226652 [Chip: ]	Q8BH55	
NM_001001306	-	-	-	
NM_001001319	GO:0005575 [Name: cellular_component]	ILMN_2543123 [Chip: ]; ILMN_2720718 [Chip: ]; ILMN_2734446 [Chip: ]; ILMN_1230882 [Chip: ]; ILMN_1247527 [Chip: ]	-	
NM_001001322	GO:0005578 [Name: proteinaceous extracellular matrix]; GO:0005615 [Name: extracellular space]; GO:0005576 [Name: extracellular region]	ILMN_1244084 [Chip: ]; ILMN_3112856 [Chip: ]; ILMN_3038544 [Chip: ]; ILMN_1240226 [Chip: ]	Q769J6	
NM_001001326	GO:0005575 [Name: cellular_component]	ILMN_2453886 [Chip: ]; ILMN_2453887 [Chip: ]; ILMN_2661030 [Chip: ]; ILMN_1250665 [Chip: ]; ILMN_3154820 [Chip: ]; ILMN_2661027 [Chip: ]	Q924W7	
NM_001001332	GO:0005575 [Name: cellular_component]	ILMN_2940312 [Chip: ]	-	
NM_001001444	GO:0009986 [Name: cell surface]; GO:0005576 [Name: extracellular region]	ILMN_2688452 [Chip: ]; ILMN_2802487 [Chip: ]	A3KGR0; Q8BGW9	
NM_001001446	GO:0005737 [Name: cytoplasm]; GO:0043231 [Name: intracellular membrane-bounded organelle]	ILMN_2654582 [Chip: ]	-	
NM_001001454	GO:0030868 [Name: smooth endoplasmic reticulum membrane]; GO:0005886 [Name: plasma membrane]; GO:0016020 [Name: membrane]; GO:0016021 [Name: integral component of membrane]; GO:0031527 [Name: filopodium membrane]; GO:0032433 [Name: filopodium tip]; GO:0030424 [Name: axon]; GO:0034707 [Name: chloride channel complex]	ILMN_1259933 [Chip: ]; ILMN_2448080 [Chip: ]; ILMN_1243836 [Chip: ]; ILMN_1216021 [Chip: ]	Q9D3A9	
NM_001001488	GO:0005794 [Name: Golgi apparatus]; GO:0016324 [Name: apical plasma membrane]; GO:0031526 [Name: brush border membrane]; GO:0005886 [Name: plasma membrane]; GO:0032420 [Name: stereocilium]; GO:0016021 [Name: integral component of membrane]; GO:0005783 [Name: endoplasmic reticulum]; GO:0042995 [Name: cell projection]; GO:0016020 [Name: membrane]	ILMN_2662734 [Chip: ]; ILMN_1254398 [Chip: ]; ILMN_2977129 [Chip: ]	Q148W0	
